Propossal ID,Programme Name,Sub-Programme,Supplement,Lead Applicant,ORCID ID,Research Body,Research Body ROR ID,Funder Name,Funder ROR ID,Propossal title,Start Date,End Date,Current Total Commitment,Discipline
GOIPG/2024/5226,Government of Ireland Postgraduate Scholarship (GOIPG),,,Deirbhile Kearney,https://orcid.org/0009-0002-7753-3334,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Research Ireland,https://ror.org/010t7sr36,On Harm; An analysis of Mental Capacity Law as applied to pregnant women with mental-disabilities in Ireland.,01/09/2024,30/09/2027,"€62,000.00",AHSS
GOIPG/2024/5230,Government of Ireland Postgraduate Scholarship (GOIPG),,,Darragh Collins,https://orcid.org/0009000423359128,University of Limerick (UL),https://ror.org/00a0n9e72,Research Ireland,https://ror.org/010t7sr36,"The feasibility of a school-based programme for improving muscular fitness, cognitive function and mental health outcomes in youth: ‘Resistance Training for Teens’ Ireland (RT4T-I).",01/09/2024,05/08/2025,"€123,408.00",AHSS
GOIPG/2024/5264,Government of Ireland Postgraduate Scholarship (GOIPG),,,Anouska Tamuli,https://orcid.org/0009000237335165,University of Galway,https://ror.org/03bea9k73,Research Ireland,https://ror.org/010t7sr36,Understanding Climate Change in the Context of Indigenous Communities: A Case Study of the Mising Community of Assam,01/09/2024,31/08/2028,"€124,000.00",AHSS
GOIPG/2024/5267,Government of Ireland Postgraduate Scholarship (GOIPG),,,Theo Bolger,https://orcid.org/0000-0002-2681-1704,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Research Ireland,https://ror.org/010t7sr36,Tuning the properties of novel oxide materials for energy saving smart window applications.,01/09/2024,31/08/2027,"€93,000.00",STEM
GOIPG/2024/5273,Government of Ireland Postgraduate Scholarship (GOIPG),,,Rena Mullally,https://orcid.org/0009000010171370,RCSI University of Medicine and Health Science (RCSI),https://ror.org/01hxy9878,Research Ireland,https://ror.org/010t7sr36,Development of a gene-activated iPSC neuron-seeded scaffold (GAINS) for spinal cord injury repair,01/09/2024,31/08/2028,"€124,000.00",STEM
GOIPG/2024/5282,Government of Ireland Postgraduate Scholarship (GOIPG),,,Savannah Devine,https://orcid.org/0009000704130119,University College Dublin (UCD),https://ror.org/05m7pjf47,Research Ireland,https://ror.org/010t7sr36,Numerical modelling of the collapse dynamics of caldera volcanoes,01/09/2024,31/08/2028,"€124,000.00",AHSS
GOIPG/2024/5286,Government of Ireland Postgraduate Scholarship (GOIPG),,,Alan Armstrong,https://orcid.org/0000-0002-7302-9563,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Research Ireland,https://ror.org/010t7sr36,The Ethic of Wealth in Late Medieval Alliterative Verse,01/09/2024,31/08/2026,"€62,000.00",AHSS
GOIPG/2024/5287,Government of Ireland Postgraduate Scholarship (GOIPG),,,Chougher Maria Doughr Amajian,https://orcid.org/0009000520621239,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Research Ireland,https://ror.org/010t7sr36,Navigating Inclusion and Integration: A Study of LGBTQ+ Refugees on the Island of Ireland,01/09/2024,31/08/2028,"€124,000.00",AHSS
GOIPG/2024/5289,Government of Ireland Postgraduate Scholarship (GOIPG),,,Frank Fitzgerald,https://orcid.org/0009-0002-3100-375X,University of Limerick (UL),https://ror.org/00a0n9e72,Research Ireland,https://ror.org/010t7sr36,‘Plus ça change? How Does The Reorganisation of Government Ministries Affect Institutional Structures and Policy Outputs?’,01/09/2024,28/02/2026,"€30,852.00",AHSS
GOIPG/2024/5304,Government of Ireland Postgraduate Scholarship (GOIPG),,,Berenice Daniele,https://orcid.org/0009-0006-5295-0421,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Research Ireland,https://ror.org/010t7sr36,"Ovid in Giovanni Boccaccio’s ""Genealogia deorum gentilium"": the intersection of Classical and Medieval culture in Boccaccio’s Humanism",01/09/2024,31/08/2028,"€124,000.00",AHSS
GOIPG/2024/5308,Government of Ireland Postgraduate Scholarship (GOIPG),,,Isabel Andersson,https://orcid.org/0000-0001-9284-7230,University of Limerick (UL),https://ror.org/00a0n9e72,Research Ireland,https://ror.org/010t7sr36,Comprehensive biophysical characterisation of the human testes to inform the development of representative preclinical models,01/09/2024,31/08/2026,"€62,000.00",STEM
GOIPG/2024/5334,Government of Ireland Postgraduate Scholarship (GOIPG),,,Louisa Celine Klatt,https://orcid.org/000900032008028X,University of Galway,https://ror.org/03bea9k73,Research Ireland,https://ror.org/010t7sr36,Constitutio Humana: Constitutions as Future-Directed Storytelling,01/09/2024,31/08/2027,"€91,500.00",AHSS
GOIPG/2024/5344,Government of Ireland Postgraduate Scholarship (GOIPG),,,Philipp Wagenhals,https://orcid.org/0000-0001-9786-4865,University College Dublin (UCD),https://ror.org/05m7pjf47,Research Ireland,https://ror.org/010t7sr36,"Philosophy, Critique, and Social Change –  A New Approach to Adorno and Dewey",01/09/2024,31/08/2027,"€93,000.00",AHSS
GOIPG/2024/5354,Government of Ireland Postgraduate Scholarship (GOIPG),,,Federica Curreli,https://orcid.org/0009-0007-5361-8786,University of Galway,https://ror.org/03bea9k73,Research Ireland,https://ror.org/010t7sr36,Culturally (In)appropriate: A Speech-Act Focused Model for Pragmatic Proficiency in Study Abroad Programs.,01/09/2024,31/08/2028,"€124,000.00",AHSS
GOIPG/2024/5370,Government of Ireland Postgraduate Scholarship (GOIPG),,,Jordan Carolan,https://orcid.org/0000-0002-1757-3863,University College Cork (UCC),https://ror.org/03265fv13,Research Ireland,https://ror.org/010t7sr36,Bridging ontological divides: A socio-psychological inquiry of motivation in study abroad students from Confucian-heritage cultures,01/09/2024,31/08/2026,"€62,000.00",AHSS
GOIPG/2024/5392,Government of Ireland Postgraduate Scholarship (GOIPG),,,Fayanne Nolin,https://orcid.org/0009-0000-8647-1468,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Research Ireland,https://ror.org/010t7sr36,Synthesis and characterization of modified oligonucleotide probes to study the DNA damage repair enzyme SNM1A,01/09/2024,31/08/2026,"€62,000.00",STEM
GOIPG/2024/5398,Government of Ireland Postgraduate Scholarship (GOIPG),,,Zijun Wang,https://orcid.org/0000000185724603,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Research Ireland,https://ror.org/010t7sr36,Plasticity of olfactory instincts across learning and evolution,01/09/2024,31/08/2028,"€124,000.00",STEM
GOIPG/2024/5405,Government of Ireland Postgraduate Scholarship (GOIPG),,,William Veldhoen,https://orcid.org/0009-0002-6977-9430,Trinity College Dublin (TCD),https://ror.org/02tyrky19,Research Ireland,https://ror.org/010t7sr36,Oxide memristor-based non-volatile switch for advance communication,01/09/2024,31/08/2028,"€124,000.00",STEM
GOIPG/2024/5415,Government of Ireland Postgraduate Scholarship (GOIPG),,,OBUMNEKE ANYANWU,https://orcid.org/0000-0003-2573-3713,Dublin City University (DCU),https://ror.org/04a1a1e81,Research Ireland,https://ror.org/010t7sr36,Exploring Cultural Heritage in Nollywood Film Music,01/09/2024,31/08/2027,"€90,465.00",AHSS
GOIPG/2024/5424,Government of Ireland Postgraduate Scholarship (GOIPG),,,Anna Keller,https://orcid.org/0000-0002-9368-2201,Dublin City University (DCU),https://ror.org/04a1a1e81,Research Ireland,https://ror.org/010t7sr36,Meet me in VR or VC? A comparative investigation on the impact of virtual reality and video conference technology on relationship development in global virtual teams.,01/09/2024,31/08/2025,"€30,155.00",AHSS
GOIPG/2024/5429,Government of Ireland Postgraduate Scholarship (GOIPG),,,Catherine Cleary,https://orcid.org/0009-0001-9066-7735,University of Limerick (UL),https://ror.org/00a0n9e72,Research Ireland,https://ror.org/010t7sr36,Stable dry-powder formulations of monoclonal antibodies for pulmonary delivery (PulmoMAb),01/09/2024,31/08/2028,"€124,000.00",STEM
GOIPG/2024/5440,Government of Ireland Postgraduate Scholarship (GOIPG),,,Avinash Kumar Singh,https://orcid.org/0000-0001-6572-6732,University of Galway,https://ror.org/03bea9k73,Research Ireland,https://ror.org/010t7sr36,Elucidating the effect of organelle-nuclear conflicts on hybrid vigour in Arabidopsis thaliana,01/09/2024,31/08/2026,"€62,000.00",STEM
